cog.000011	arCOG00706	C	gor	Aldehyde:ferredoxin oxidoreductase
cog.000171	arCOG01338	C	-	Acyl-CoA synthetase, ATP-grasp containing subunit
cog.000678	arCOG04101	C	NtpD	Archaeal/vacuolar-type H+-ATPase subunit D
cog.000230	arCOG01543	C	NuoI	Formate hydrogenlyase subunit 6/NADH:ubiquinone oxidoreductase 23 kD subunit (chain I)
cog.000436	arCOG00869	C	NtpE	Archaeal/vacuolar-type H+-ATPase subunit E
cog.000769	arCOG04138	C	NtpI	Archaeal/vacuolar-type H+-ATPase subunit I
cog.000133	arCOG02046	C	-	Nickel-dependent lactate racemase
cog.000074	arCOG00288	C	NfnB	Nitroreductase
cog.000553	arCOG04949	C	OVP1	Na+ or H+-translocating membrane pyrophosphatase
cog.001084	arCOG00570	C	-	Geranylgeranyl reductase, flavoprotein
cog.000188	arCOG01605	C	PorD	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, delta subunit
cog.000672	arCOG02455	C	AtpK	Archaeal/vacuolar-type Na+/H+-ATPase, subunit K
cog.000252	arCOG01252	C	PutA	Lactaldehyde dehydrogenase, Succinate semialdehyde dehydrogenase, a-ketoglutarate semialdehyde dehydrogenase or other NAD-dependent aldehyde dehydrogenase
cog.000523	arCOG00868	C	NtpA	Archaeal/vacuolar-type H+-ATPase subunit A
cog.000456	arCOG02077	C	IscU	NifU homolog involved in Fe-S cluster formation
cog.000757	arCOG00865	C	NtpB	Archaeal/vacuolar-type H+-ATPase subunit B
cog.000677	arCOG04102	C	NtpG	Archaeal/vacuolar-type H+-ATPase subunit F
cog.000845	arCOG01603	C	PorG	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
cog.000483	arCOG01601	C	PorB	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit
cog.000441	arCOG01163	C	LeuB	Isocitrate/isopropylmalate dehydrogenase
cog.000772	arCOG01601	C	PorB	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, beta subunit
cog.000478	arCOG01608	C	PorA	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit
cog.000445	arCOG00288	C	NfnB	Nitroreductase
cog.000916	arCOG01608	C	PorA	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, alpha subunit
cog.000280	arCOG00337	C	GlcD	FAD/FMN-containing dehydrogenase
cog.000462	arCOG01603	C	PorG	Pyruvate:ferredoxin oxidoreductase or related 2-oxoacid:ferredoxin oxidoreductase, gamma subunit
cog.001416	arCOG00853	C	SfcA	Malic enzyme
cog.000762	arCOG02459	C	NtpC	Archaeal/vacuolar-type H+-ATPase subunit C
cog.000241	arCOG05583	D	-	Actin related protein, including lokiactins
cog.000292	arCOG02201	D	FtsZ1_2	Cell division GTPase
cog.000598	arCOG00585	D	Mrp	Mrp family protein, ATPase, contains iron-sulfur cluster
cog.000076	arCOG01000	E	PepP	Xaa-Pro aminopeptidase
cog.000066	arCOG01130	E	-	Aspartate/tyrosine/aromatic aminotransferase
cog.000434	arCOG01924	E	AnsB	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D
cog.000325	arCOG01909	E	GlnA	Glutamine synthetase
cog.000345	arCOG01698	E	LeuC	Homoaconitate hydratase/3-isopropylmalate dehydratase large subunit family protein
cog.000344	arCOG02230	E	LeuD	3-isopropylmalate dehydratase small subunit
cog.000582	arCOG00082	E	PucG	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase
cog.000779	arCOG00912	E	ArgF	Ornithine carbamoyltransferase
cog.000138	arCOG00915	E	GabT	4-aminobutyrate aminotransferase or related aminotransferase
cog.000185	arCOG01107	E	ArgE	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
cog.001011	arCOG01131	E	-	Aspartate/tyrosine/aromatic aminotransferase
cog.000713	arCOG02297	E	IlvE	Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase
cog.000303	arCOG01998	E	IlvB	Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
cog.000581	arCOG00067	F	PrsA	Phosphoribosylpyrophosphate synthetase
cog.000892	arCOG01565	F	NrnA	nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs
cog.000689	arCOG01327	F	Pnp	Purine nucleoside phosphorylase
cog.000873	arCOG00858	F	PyrH	Uridylate kinase
cog.000108	arCOG01075	F	-	NUDIX family hydrolase
cog.000855	arCOG01038	F	Fap7	Broad-specificity NMP kinase
cog.001150	arCOG04184	F	RdgB	Inosine/xanthosine triphosphate pyrophosphatase
cog.000534	arCOG01350	F	-	Predicted inorganic polyphosphate/ATP-NAD kinase
cog.000887	arCOG01037	F	Cmk	Cytidylate kinase
cog.000894	arCOG00081	F	PyrF	Orotidine-5'-phosphate decarboxylase
cog.000997	arCOG00063	F	PyrG	CTP synthase (UTP-ammonia lyase)
cog.000698	arCOG01891	F	Tmk	Thymidylate kinase
cog.000824	arCOG00911	F	PyrB	Aspartate carbamoyltransferase, catalytic chain
cog.001005	arCOG00603	F	PyrD	Dihydroorotate dehydrogenase
cog.000099	arCOG00767	G	{ManB}	Phosphomannomutase
cog.000718	arCOG01087	G	TpiA	Triosephosphate isomerase
cog.000048	arCOG00271	G	RhaT	Permease of the drug/metabolite transporter (DMT) superfamily
cog.001139	arCOG01169	G	Eno	Enolase
cog.000401	arCOG01349	G	SuhB	Archaeal fructose-1,6-bisphosphatase or related enzyme of inositol monophosphatase family
cog.000057	arCOG00130	G	-	MFS family permease
cog.000565	arCOG00016	G	RbsK	Sugar kinase, ribokinase family
cog.000069	arCOG00014	G	RbsK	Sugar kinase, ribokinase family
cog.000085	arCOG00143	G	-	MFS family permease
